Lubbock TX, USA,                       3.1,  3.9,  5.1,  6.2,  6.7,  7.1,  7.0,  6.3,  5.2,  4.4,  3.3,  2.8
Lynchburg VA, USA,                     2.4,  3.2,  4.3,  5.4,  6.0,  6.5,  6.2,  5.6,  4.7,  3.7,  2.6,  2.1
Macon GA, USA,                         2.7,  3.5,  4.6,  5.7,  6.2,  6.3,  6.0,  5.6,  4.8,  4.1,  3.0,  2.5
Madison WI, USA,                       1.9,  2.8,  3.7,  4.7,  5.8,  6.4,  6.2,  5.4,  4.1,  2.8,  1.7,  1.5
Memphis TN, USA,                       2.5,  3.2,  4.2,  5.4,  6.1,  6.6,  6.5,  6.0,  4.8,  4.0,  2.7,  2.2
Meridian MS, USA,                      2.6,  3.4,  4.4,  5.4,  5.9,  6.2,  5.9,  5.6,  4.8,  4.1,  2.9,  2.4
Miami FL, USA,                         3.5,  4.2,  5.2,  6.0,  6.0,  5.6,  5.8,  5.6,  4.9,  4.4,  3.7,  3.3
Milwaukee WI, USA,                     1.8,  2.6,  3.5,  4.6,  5.8,  6.4,  6.3,  5.4,  4.1,  2.9,  1.8,  1.4
Missoula MT, USA,                      1.3,  2.1,  3.2,  4.5,  5.5,  6.3,  6.9,  5.8,  4.2,  2.7,  1.4,  1.1
Mobile AL, USA,                        2.7,  3.5,  4.4,  5.4,  5.9,  5.9,  5.6,  5.2,  4.7,  4.2,  3.1,  2.5
Moline IL, USA,                        1.9,  2.7,  3.6,  4.7,  5.7,  6.4,  6.3,  5.5,  4.3,  3.2,  2.0,  1.6
Montgomery AL, USA,                    2.7,  3.5,  4.5,  5.7,  6.2,  6.4,  6.1,  5.7,  4.9,  4.2,  3.0,  2.5
Montpelier VT, USA,                    1.9,  2.8,  3.7,  4.7,  5.8,  6.4,  6.2,  5.4,  4.1,  2.8,  1.7,  1.5
Nashville TN, USA,                     2.3,  3.1,  4.1,  5.4,  6.0,  6.5,  6.3,  5.7,  4.7,  3.8,  2.5,  2.0
New Orleans LA, USA,                   2.7,  3.6,  4.5,  5.5,  6.1,  6.1,  5.7,  5.5,  4.9,  4.3,  3.1,  2.6
New York, USA,                         1.9,  2.7,  3.8,  4.9,  5.7,  6.1,  6.0,  5.4,  4.3,  3.2,  2.0,  1.6
Nome AK, USA,                          0.2,  0.8,  2.3,  4.3,  5.3,  5.5,  4.6,  3.3,  2.1,  1.0,  0.3,  0.1
Norfolk VA, USA,                       2.3,  3.0,  4.1,  5.1,  5.8,  6.2,  5.9,  5.4,  4.5,  3.5,  2.5,  2.0
Oklahoma City OK, USA,                 2.8,  3.5,  4.6,  5.7,  6.2,  6.8,  6.9,  6.2,  5.0,  4.0,  2.9,  2.4
Olympia WA, USA,                       1.0,  1.7,  2.8,  4.0,  5.0,  5.6,  5.9,  5.1,  3.8,  2.2,  1.2,  0.9
Omaha NE, USA,                         2.1,  2.9,  3.9,  5.0,  5.9,  6.7,  6.6,  5.7,  4.5,  3.3,  2.1,  1.7
Orlando FL, USA,                       3.18, 3.92, 5.10, 6.36, 7.03, 6.42, 6.81, 6.16, 5.10, 4.37, 3.52, 2.98
Peoria IL, USA,                        2.0,  2.8,  3.6,  4.8,  5.8,  6.4,  6.3,  5.5,  4.4,  3.2,  2.0,  1.6
Philadelphia PA, USA,                  2.0,  2.8,  3.8,  4.8,  5.5,  6.1,  6.0,  5.4,  4.4,  3.2,  2.1,  1.7
Phoenix AZ, USA,                       3.2,  4.3,  5.5,  7.1,  8.0,  8.4,  7.6,  7.1,  6.1,  4.9,  3.6,  3.0
Pierre SD, USA,                        1.8,  2.7,  3.9,  5.0,  6.0,  6.7,  6.8,  6.0,  4.5,  3.1,  2.0,  1.5
Pittsburgh PA, USA,                    1.7,  2.5,  3.5,  4.6,  5.5,  6.1,  5.9,  5.2,  4.2,  3.0,  1.8,  1.4
Pocatello ID, USA,                     1.7,  2.6,  3.8,  5.1,  6.2,  7.0,  7.3,  6.3,  5.0,  3.5,  2.0,  1.5
Portland ME, USA,                      1.9,  2.8,  3.8,  4.7,  5.6,  6.1,  6.0,  5.4,  4.2,  2.9,  1.8,  1.5
Portland OR, USA,                      1.2,  1.9,  3.0,  4.2,  5.3,  5.9,  6.3,  5.4,  4.1,  2.5,  1.4,  1.0
Providence RI, USA,                    1.9,  2.7,  3.7,  4.7,  5.6,  6.0,  5.9,  5.2,  4.2,  3.1,  1.9,  1.6
Raleigh NC, USA,                       2.4,  3.2,  4.4,  5.5,  6.0,  6.3,  6.1,  5.5,  4.6,  3.8,  2.7,  2.2
Rapid City SD, USA,                    1.9,  2.8,  4.0,  5.1,  6.0,  6.7,  6.8,  6.1,  4.7,  3.3,  2.1,  1.6
Reno NV, USA,                          2.3,  3.2,  4.5,  5.9,  7.0,  7.6,  7.8,  6.9,  5.7,  4.1,  2.6,  2.1
Richmond VA, USA,                      2.3,  3.0,  4.1,  5.2,  5.8,  6.3,  6.0,  5.4,  4.5,  3.5,  2.5,  2.0
Rochester NY, USA,                     1.6,  2.4,  3.4,  4.6,  5.5,  6.1,  6.0,  5.2,  4.0,  2.7,  1.6,  1.3
Sacramento CA, USA,                    1.9,  3.0,  4.3,  5.9,  7.2,  7.9,  7.9,  7.0,  5.7,  4.0,  2.4,  1.7
Salem OR, USA,                         1.3,  2.0,  3.1,  4.4,  5.5,  6.1,  6.6,  5.7,  4.4,  2.7,  1.4,  1.1
Salt Lake City UT, USA,                1.9,  2.9,  4.1,  5.4,  6.5,  7.4,  7.3,  6.5,  5.2,  3.7,  2.2,  1.7
San Antonio TX, USA,                   3.1,  3.9,  4.8,  5.5,  6.0,  6.7,  6.9,  6.4,  5.4,  4.5,  3.4,  2.9
San Diego CA, USA,                     3.1,  3.9,  4.9,  6.1,  6.3,  6.5,  6.9,  6.5,  5.4,  4.4,  3.4,  2.9
San Francisco CA, USA,                 2.2,  3.0,  4.2,  5.7,  6.7,  7.2,  7.3,  6.5,  5.4,  3.9,  2.5,  2.0
San Juan PR, USA,                      4.3,  4.9,  5.7,  6.1,  5.8,  6.1,  6.1,  6.0,  5.5,  4.9,  4.3,  4.0
Santa Fe NM, USA,                      2.53, 3.3,  4.5,  5.49, 6.3,  6.66, 5.94, 5.25, 4.9,  3.9,  2.92, 2.38
Savannah GA, USA,                      2.8,  3.5,  4.7,  5.8,  6.2,  6.3,  6.1,  5.5,  4.7,  4.1,  3.1,  2.6
Seattle WA, USA,                       1.0,  1.7,  2.8,  4.1,  5.3,  5.8,  6.1,  5.2,  3.8,  2.2,  1.2,  0.8
Sheridan WY, USA,                      1.8,  2.7,  3.9,  5.0,  5.8,  6.7,  6.9,  6.0,  4.6,  3.1,  2.0,  1.6
Shreveport LA, USA,                    2.6,  3.4,  4.4,  5.4,  6.0,  6.4,  6.4,  6.0,  5.0,  4.1,  3.0,  2.5
Sioux City IA, USA,                    1.9,  2.8,  3.8,  4.9,  5.8,  6.6,  6.5,  5.7,  4.4,  3.2,  2.0,  1.6
Spokane WA, USA,                       1.3,  2.0,  3.2,  4.6,  5.8,  6.5,  7.0,  5.9,  4.4,  2.7,  1.4,  1.1
Springfield IL, USA,                   2.1,  2.9,  3.7,  5.0,  6.0,  6.5,  6.4,  5.7,  4.6,  3.4,  2.2,  1.7
Springfield MO, USA,                   2.4,  3.1,  4.1,  5.2,  5.9,  6.4,  6.6,  5.9,  4.7,  3.7,  2.5,  2.0
St. Louis MO, USA,                     2.2,  2.9,  3.9,  5.0,  5.9,  6.4,  6.4,  5.7,  4.6,  3.5,  2.3,  1.8
St. Paul MN, USA,                      1.8,  2.7,  3.8,  4.7,  5.7,  6.3,  6.3,  5.4,  4.1,  2.8,  1.7,  1.4
