Pittsburgh PA, USA,                    2.5,  3.0,  3.1,  2.9,  2.6,  2.5,  2.6,  2.9,  3.2,  3.3,  2.3,  2.0
Pocatello ID, USA,                     2.9,  3.6,  3.8,  3.4,  3.0,  2.8,  3.1,  3.7,  4.4,  4.5,  3.1,  2.7
Portland ME, USA,                      3.8,  4.4,  4.1,  3.2,  2.8,  2.7,  2.8,  3.2,  3.6,  3.6,  2.9,  3.1
Portland OR, USA,                      1.8,  2.3,  2.8,  2.9,  2.8,  2.7,  3.1,  3.4,  3.7,  3.0,  1.9,  1.5
Providence RI, USA,                    3.4,  3.7,  3.5,  3.0,  2.7,  2.6,  2.7,  3.0,  3.4,  3.6,  3.0,  2.9
Raleigh NC, USA,                       3.6,  3.8,  3.6,  3.1,  2.5,  2.3,  2.4,  2.8,  3.3,  3.8,  3.7,  3.5
Rapid City SD, USA,                    3.8,  4.3,  4.2,  3.6,  3.0,  2.9,  3.1,  3.7,  4.2,  4.4,  3.8,  3.6
Reno NV, USA,                          4.1,  4.3,  4.2,  3.7,  3.0,  2.7,  2.9,  3.6,  4.6,  5.0,  4.2,  4.0
Richmond VA, USA,                      3.5,  3.7,  3.5,  3.1,  2.6,  2.4,  2.4,  2.8,  3.3,  3.7,  3.6,  3.3
Rochester NY, USA,                     2.5,  3.1,  3.3,  3.1,  2.7,  2.6,  2.8,  3.0,  3.2,  3.0,  2.0,  1.9
Sacramento CA, USA,                    2.7,  3.6,  3.8,  3.6,  3.0,  2.7,  2.9,  3.6,  4.5,  4.6,  3.4,  2.6
Salem OR, USA,                         1.9,  2.4,  2.9,  3.0,  2.9,  2.8,  3.1,  3.5,  3.9,  3.2,  1.9,  1.5
Salt Lake City UT, USA,                3.2,  3.9,  3.9,  3.5,  3.0,  2.8,  2.9,  3.6,  4.3,  4.5,  3.5,  2.9
San Antonio TX, USA,                   3.8,  3.8,  3.4,  2.7,  2.1,  1.9,  2.0,  2.6,  3.3,  4.0,  4.0,  3.8
San Diego CA, USA,                     4.5,  4.3,  3.9,  3.2,  2.4,  2.1,  2.2,  2.9,  3.6,  4.4,  4.6,  4.5
San Francisco CA, USA,                 3.3,  3.6,  3.7,  3.4,  2.8,  2.5,  2.7,  3.3,  4.1,  4.3,  3.6,  3.3
San Juan PR, USA,                      4.2,  3.9,  3.1,  2.0,  1.5,  1.5,  1.5,  1.7,  2.5,  3.3,  3.9,  4.1
Savannah GA, USA,                      3.7,  3.8,  3.6,  3.0,  2.3,  2.0,  2.1,  2.5,  3.0,  3.8,  3.9,  3.7
Seattle WA, USA,                       1.5,  2.2,  2.8,  3.0,  3.0,  2.8,  3.1,  3.4,  3.4,  2.7,  1.7,  1.3
Sheridan WY, USA,                      3.6,  4.2,  4.2,  3.6,  3.0,  2.9,  3.2,  3.7,  4.1,  4.1,  3.6,  3.4
Shreveport LA, USA,                    3.4,  3.6,  3.3,  2.8,  2.3,  2.0,  2.2,  2.7,  3.3,  3.9,  3.7,  3.5
