Name                              Brand            CellType            Efficiency  Length   NominalLength  Width     NominalWidth  Thickness  m    n    Pmax    Vmpp   Impp   Voc    Isc    PmaxTC    NOCT   Weight  Color   Shade Tolerance   Bifacial
Q.PEAK DUO BLK-G10+ 365,          Q-Cells,         Monocrystalline,    0.203,      1.717,   1.72,          1.045,    1.05,         0.032,     20,  6,   365,    34.58,10.56,  41.21,11.07,  -0.0034,  43,    19.9,   Black,  Partial,          0
Q.PEAK DUO BLK-G10+ 370,          Q-Cells,         Monocrystalline,    0.206,      1.717,   1.72,          1.045,    1.05,         0.032,     20,  6,   370,    34.84,10.62,  41.24,11.10,  -0.0034,  43,    19.9,   Black,  Partial,          0
Q.PEAK DUO BLK ML-G10+ 385,       Q-Cells,         Monocrystalline,    0.196,      1.879,   1.88,          1.045,    1.05,         0.032,     22,  6,   385,    36.36,10.59,  45.19,11.04,  -0.0034,  43,    22.0,   Black,  Partial,          0
Q.PEAK DUO BLK ML-G10+ 390,       Q-Cells,         Monocrystalline,    0.199,      1.879,   1.88,          1.045,    1.05,         0.032,     22,  6,   390,    36.62,10.65,  45.23,11.07,  -0.0034,  43,    22.0,   Black,  Partial,          0
Q.PEAK DUO BLK ML-G10+ 395,       Q-Cells,         Monocrystalline,    0.201,      1.879,   1.88,          1.045,    1.05,         0.032,     22,  6,   395,    36.88,10.71,  45.27,11.10,  -0.0034,  43,    22.0,   Black,  Partial,          0
Q.PEAK DUO BLK ML-G10+ 400,       Q-Cells,         Monocrystalline,    0.204,      1.879,   1.88,          1.045,    1.05,         0.032,     22,  6,   400,    37.13,10.77,  45.30,11.14,  -0.0034,  43,    22.0,   Black,  Partial,          0
Q.PEAK DUO BLK ML-G10+ 405,       Q-Cells,         Monocrystalline,    0.206,      1.879,   1.88,          1.045,    1.05,         0.032,     22,  6,   405,    37.39,10.83,  45.34,11.17,  -0.0034,  43,    22.0,   Black,  Partial,          0
Q.PEAK DUO BLK ML-G10+ 410,       Q-Cells,         Monocrystalline,    0.209,      1.879,   1.88,          1.045,    1.05,         0.032,     22,  6,   410,    37.64,10.89,  45.37,11.20,  -0.0034,  43,    22.0,   Black,  Partial,          0
Q.PEAK DUO XL-G10 475,            Q-Cells,         Monocrystalline,    0.205,      2.216,   2.22,          1.045,    1.05,         0.035,     26,  6,   475,    45.03,10.55,  53.15,11.08,  -0.0034,  43,    29.1,   Black,  Partial,          0.7
Q.PEAK DUO XL-G10 480,            Q-Cells,         Monocrystalline,    0.207,      2.216,   2.22,          1.045,    1.05,         0.035,     26,  6,   480,    45.33,10.59,  53.39,11.12,  -0.0034,  43,    29.1,   Black,  Partial,          0.7
Q.PEAK DUO XL-G10 485,            Q-Cells,         Monocrystalline,    0.209,      2.216,   2.22,          1.045,    1.05,         0.035,     26,  6,   485,    45.63,10.63,  53.63,11.16,  -0.0034,  43,    29.1,   Black,  Partial,          0.7
Q.PEAK DUO XL-G10 490,            Q-Cells,         Monocrystalline,    0.212,      2.216,   2.22,          1.045,    1.05,         0.035,     26,  6,   490,    45.93,10.67,  53.86,11.20,  -0.0034,  43,    29.1,   Black,  Partial,          0.7
Q.PEAK DUO XL-G11 570,            Q-Cells,         Monocrystalline,    0.208,      2.416,   2.42,          1.134,    1.13,         0.035,     26,  6,   570,    44.44,12.83,  53.50,13.50,  -0.0034,  43,    34.4,   Black,  Partial,          0.7
Q.PEAK DUO XL-G11 575,            Q-Cells,         Monocrystalline,    0.210,      2.416,   2.42,          1.134,    1.13,         0.035,     26,  6,   575,    44.66,12.87,  53.53,13.52,  -0.0034,  43,    34.4,   Black,  Partial,          0.7
Q.PEAK DUO XL-G11 580,            Q-Cells,         Monocrystalline,    0.212,      2.416,   2.42,          1.134,    1.13,         0.035,     26,  6,   580,    44.88,12.92,  53.56,13.55,  -0.0034,  43,    34.4,   Black,  Partial,          0.7
Q.PEAK DUO XL-G11 585,            Q-Cells,         Monocrystalline,    0.214,      2.416,   2.42,          1.134,    1.13,         0.035,     26,  6,   585,    45.10,12.97,  53.59,13.57,  -0.0034,  43,    34.4,   Black,  Partial,          0.7
SE-F280CzD-3y,                    SunEdison,       Monocrystalline,    0.1706,     1.658,   1.65,          0.99,     0.99,         0.05,      10,  6,   280,    30.4,  9.21,  38,    9.5,   -0.0045,  45,    19,     Blue,   Partial,          0
SE-R355EzC-4y,                    SunEdison,       Monocrystalline,    0.1815,     1.976,   1.96,          0.99,     0.99,         0.035,     12,  6,   355,    38.3,  9.27,  46.8,  9.64,  -0.0044,  45,    21.2,   Black,  Partial,          0
Sharp NT-175UC1,                  Sharp,           Monocrystalline,    0.134,      1.576,   1.58,          0.826,    0.83,         0.046,     12,  6,   175,    35.4,  4.95,  44.4,  5.4,   -0.0048,  45,    16,     Blue,   None,             0
Sharp NU-U245P1,                  Sharp,           Monocrystalline,    0.1503,     1.64,    1.65,          0.994,    0.99,         0.046,     10,  6,   245,    30.4,  8.08,  37.3,  8.7,   -0.0048,  47.5,  20,     Blue,   None,             0
SPR-E19-235,                      SunPower,        Monocrystalline,    0.193,      1.558,   1.56,          0.798,    0.8,          0.046,     12,  6,   235,    40.5,  5.80,  48.4,  6.18,  -0.0035,  45,    15,     Black,  High,             0
SPR-E19-320,                      SunPower,        Monocrystalline,    0.199,      1.558,   1.56,          1.046,    1.05,         0.046,     12,  8,   320,    54.7,  5.86,  64.8,  6.24,  -0.0035,  45,    18.6,   Black,  High,             0
SPR-E20-245,                      SunPower,        Monocrystalline,    0.20,       1.558,   1.56,          0.798,    0.8,          0.046,     12,  6,   245,    40.5,  6.05,  48.8,  6.43,  -0.0035,  45,    15,     Black,  High,             0
SPR-E20-327,                      SunPower,        Monocrystalline,    0.204,      1.558,   1.56,          1.046,    1.05,         0.046,     12,  8,   327,    54.7,  5.98,  64.9,  6.46,  -0.0035,  45,    18.6,   Black,  High,             0
SPR-E20-435-COM,                  SunPower,        Monocrystalline,    0.203,      2.073,   2.07,          1.072,    1.07,         0.046,     16,  8,   435,    72.9,  5.97,  85.6,  6.43,  -0.0035,  45,    25.4,   Black,  Partial,          0
